customer_id,first_name,last_name,email,phone,city,signup_date,loyalty_points
1,RICHARD,GONZALEZ,jerryanderson@example.org,4688197369,dallas,2025-04-03,709
2,laura,kramer,nhensley@example.org,,San Antonio,2023-08-14,1634 pts
3,ANGELA,COLEMAN,veronica81@example.com,,Austin,2025-04-10,4644
4,Tonya,Raymond,benjaminjohnson@example.com,6161249065,DALLAS,11/24/2023,349
5,richard,yoder,,037-486-2570,austin,19-11-2023,3785 pts
6,michelle,greene,cathyortiz@example.org,(124) 226-2385,austin,2025-10-19,1317 pts
7,lauren,mathis,hodgemichael@example.net,(184) 090-5366,DALLAS,2024-07-01,1402
8,LISA,CRUZ,amanda20@example.com,673-434-1533,AUSTIN,21-08-2024,3121 pts
9,samuel,haley,qfisher@example.org,(845) 782-4646,Austin,05/24/2026,4468 pts
10,MARGARET,MOORE,mgregory@example.net,+17365350543,Dallas,2026-03-01,
11,Elizabeth,Clarke,diane36@example.com,601-883-0842,AUSTIN,2025-01-08,3357 pts
12,linda,fitzpatrick,kaitlyn67@example.net,+18994301419,Austin,08/02/2023,960
13,brian,evans,james16@example.com,2475227668,Dallas,05/08/2026,3269
14,HAROLD,WRIGHT,steven62@example.com,972.183.7801,San Antonio,2024-06-24,
15,TROY,ROGERS,hudsonamanda@example.net,,Austin,07-08-2023,866 pts
16,matthew,hall,eric70@example.net,633-172-4451,Houston,03/02/2025,
17,JAMES,HANSEN,,581.122.2810,austin,10/07/2025,
18,DEBORAH,JACKSON,christinahodges@example.net,,SAN ANTONIO,2024-12-23,
19,Tammy,Cross,hallsabrina@example.org,397-912-2754,austin,2024-06-06,2419 pts
20,brandon,sanders,stacy20@example.com,+18441761052,Austin,04/23/2025,2830
21,logan,cook,linda06@example.com,(938) 204-6683,San Antonio,01/05/2024,4187 pts
22,RICHARD,BROWN,deborahmartin@example.net,,Houston,06/16/2026,4963
23,Jonathan,Riley,phernandez@example.org,(867) 129-3562,AUSTIN,2024-12-03,
24,CHERYL,WOOD,jesseberry@example.org,1693227324,SAN ANTONIO,29-12-2023,
25,ZACHARY,OWEN,youngalice@example.net,668.813.4595,HOUSTON,12/22/2024,
26,COLLIN,BURTON,kimleslie@example.org,,dallas,10/31/2023,
27,melvin,thomas,alyssa37@example.org,,Houston,2026-02-27,4692 pts
28,John,Hernandez,smithgregory@example.org,+15941061615,San Antonio,2024-12-24,940
29,ANGELA,BENNETT,mark51@example.com,(831) 034-5914,SAN ANTONIO,12-02-2026,98
30,CHRISTINE,SANCHEZ,hortega@example.org,941-610-4776,SAN ANTONIO,2025-11-14,391
31,karen,hicks,cassidynichols@example.org,463.194.7759,dallas,09/30/2023,3421 pts
